sku;Descrição;Novo Pr.Custo Real;custo;Novo Pr. Venda 3
10893;MAZ - SPRAY USO GERAL BRANCO BRIL MAZA;11,5372;20,48;14,9
10894;MAZ - SPRAY USO GERAL PRETO BRIL MAZA;11,5372;20,48;14,9
10895;MAZ - SPRAY USO GERAL BRANCO FOSCO MAZA;11,5372;20,48;14,9
10896;MAZ - SPRAY USO GERAL PRETO FOSCO MAZA;11,5372;20,48;14,9
10903;MAZ - SPRAY USO GERAL ALUMINIO MAZA;11,5372;20,48;14,9
10904;MAZ - SPRAY USO GERAL AMARELO OURO MAZA;11,5372;20,48;14,9
10905;MAZ - SPRAY USO GERAL AZUL DEL REY MAZA;11,5372;20,48;14,9
10906;MAZ - SPRAY USO GERAL AZUL FRANCA MAZA;11,5372;20,48;14,9
10907;MAZ - SPRAY USO GERAL CINZA MEDIO MAZA;11,5372;20,48;14,9
10908;MAZ - SPRAY USO GERAL LARANJA MAZA;11,5372;20,48;14,9
10909;MAZ - SPRAY USO GERAL MARROM MAZA;11,5372;20,48;14,9
10910;MAZ - SPRAY USO GERAL ROSA STAR MAZA;11,5372;20,48;14,9
10911;MAZ - SPRAY USO GERAL ROXO MAZA;11,5372;20,48;14,9
10912;MAZ - SPRAY USO GERAL VERDE COLONIAL MAZA;11,5372;20,48;14,9
10913;MAZ - SPRAY USO GERAL VERDE FOLHA MAZA;11,5372;20,48;14,9
10914;MAZ - SPRAY USO GERAL VERMELHO MAZA;11,5372;20,48;14,9
10915;MAZ - SPRAY LUMINOSO AMARELO MAZA;22,9972;20,72;29,8
10916;MAZ - SPRAY LUMINOSO AZUL MAZA;22,9972;20,72;29,8
10917;MAZ - SPRAY LUMINOSO FUNDO BRANCO MAZA;21,697;20,68;28,1
10918;MAZ - SPRAY LUMINOSO LARANJA MAZA;22,9972;20,72;29,8
10919;MAZ - SPRAY LUMINOSO MARAVILHA MAZA;22,9972;20,72;29,8
10920;MAZ - SPRAY LUMINOSO VERDE MAZA;22,9972;20,72;29,8
10921;MAZ - SPRAY LUMINOSO VERMELHO MAZA;22,9972;20,72;29,8
10922;MAZ - SPRAY METALICO CROMADO MAZA;20,8926;20,79;27,1
10923;MAZ - SPRAY METALICO DOURADO MAZA;20,8926;20,79;27,1
10924;MAZ - SPRAY METALICO GRAFITE MAZA;19,2507;20,59;24,9
10925;MAZ - SPRAY METALICO OURO MAZA;19,7135;20,87;25,6
10926;MAZ - SPRAY METALICO PRATA MAZA;19,2507;20,59;24,9
10927;MAZ - SPRAY VERNIZ ACRILICO MAZA;18,4132;20,83;23,9
10928;MAZ - SPRAY METALICO COBRE MAZA;19,7135;20,87;25,6
10978;MAZ - ACR ULTRA MEL MAZA 18L;179,4601;23,66;242,74
11006;MAZ - ESM PRETO DIRETO NA FERRUGEM MAZA 3,6L;122,8871;16,53;150,2598
11044;MAZ - ES IND AMARELO SEGURANCA MAZA 3,6L;88,7824;61,22;272,8554
11053;MAZ - ESM PRETO DIRETO NA FERRUGEM MAZA 900ML;36,7273;16,54;44,9104
11084;MAZ - MASSA NIVELADORA (REGULARIZADORA) MAZA BALDE 23KG;102,0481;55,97;442,3765
11100;MAZ - SPRAY USO GERAL PRIMER RAPIDO CINZA MAZA;15,7466;20,7;20,4
11103;MAZ - ACR PREMIUM FOSCO MAZA BASE C 16L;200,1873;42,76;378,5288
11120;MAZ - PAV DEMARCACAO VIARIA VERMELHO MAZA 3,6L;119,7466;58,97;341,9225
11121;MAZ - PAV DEMARCACAO VIARIA VERDE MAZA 3,6L;119,7466;59,44;347,081
11122;MAZ - PAV DEMARCACAO VIARIA AZUL MAZA 3,6L;119,7466;59,44;347,081
11123;MAZ - PAV DEMARCACAO VIARIA CINZA MEDIO MAZA 3,6L;119,7466;59,44;347,081
11133;MAZ - PRIMER EPOXI FUNDO CINZA CLARO M295 II MAZA C/CAT;215,9669;56,13;566,046
11141;MAZ - MARTELADO AZUL REAL MAZA 3,6L;119,7355;60,73;362,0031
11142;MAZ - MARTELADO AZUL REAL MAZA 900ML;32,1653;63,34;106,4822
11143;MAZ - MARTELADO CINZA CLARO MAZA 3,6L;124,1102;59,64;362,0031
11144;MAZ - MARTELADO CINZA CLARO MAZA 900ML;34,5234;61,33;106,4822
11145;MAZ - MARTELADO VERDE BRASIL MAZA 3,6L;119,7355;60,73;362,0031
11146;MAZ - MARTELADO VERDE BRASIL MAZA 900ML;34,5234;62,36;110,351
11161;MAZ - EPOXI AGUA CINZA CLARO MAZA 3,6L;152,2377;42,54;277,9004
11164;MAZ - VERNIZ INTUMESCENTE (ANTICHAMAS) MAZA 3,6L;261,2011;58,86;743,419
11165;MAZ - ESM BR VERMELHO RUBI MAZA 18L;331,3939;46,98;687,0795
11201;MAZ - THINNER 800 MAZA 5L;53,4983;46,9;150,54
11202;MAZ - THINNER 800 MAZA 900ML;10,8041;46,89;30,4
11203;MAZ - ESM MARROM DIRETO NA FERRUGEM MAZA 3,6L;122,8871;16,53;150,2598
11206;MAZ - PRIMER ACAB PRETO MAZA 18L;381,697;53,21;922,826
11219;MAZ - THINNER 116 MAZA 450ML;9,2784;46,91;26,1184
11628;MAZ - SPRAY SELADORA PARA PLASTICO MAZA;17,0138;20,89;22,1
11702;MAZ - PRETO FOSCO VINILICO MAZA KIT C/ CAT;32,0551;49,81;71,0483
11703;MAZ - THINNER / DILUENTE PU 5230 MAZA 5L;72,7423;46,9;204,69
11705;MAZ - THINNER / DILUENTE PU 5230 MAZA 900ML;14,1993;46,89;39,95
11772;MAZ - ACR FC PEROLA PROFISSIONAL 3.6L;35,5152;60,38;106,1137
11774;MAZ - ACR FC LIMA  PROFISSIONAL 3.6L;35,5041;60,39;106,1137
11782;MAZ - ACR FC GELO PROFISSIONAL 3.6L;35,5041;60,39;106,1137
11796;MAZ - ACR FC LIMA  PROFISSIONAL MAZA 18L;89,9063;46,34;183,7027
11800;MAZ - ACR FC AREIA PROFISSIONAL MAZA 18L;89,9063;52,13;211,258
11806;MAZ - ACR FC PESSEGO PROFISSIONAL 18L;89,9063;54,41;224,5056
11889;MAZ - WASH PRIMER KIT MAZA 1/4 C/CAT;33,0689;55,15;84,2913
11898;MAZ - DESENGRAXANTE MAZA 900ML;18,2131;39,91;40,3422
11909;MAZ - ESM BRANCO DIRETO NA FERRUGEM MAZA 3,6L;122,8871;16,53;150,2598
11911;MAZ - ESM BRANCO DIRETO NA FERRUGEM MAZA 900ML;36,7273;16,54;44,9104
11924;MAZ - ACR FC GELO PROFISSIONAL MAZA 18L;89,9063;52,13;211,258
11929;MAZ - ESM OURO DIRETO NA FERRUGEM MAZA 3,6L;107,1074;16,53;130,9646
11938;MAZ - VERNIZ MARIT FOSCO MAZA 900ML;36,6061;55,87;95,2396
12102;MAZ - THINNER / DILUENTE PU 5230 MAZA 18L;303,694;39,93;639,1788
12104;MAZ - ESM ALTA TEMP. ALUMINIO 600º MAZA 3,6L;219,1846;55,26;560,4704
12143;MAZ - MAZA MIX PU 937 VERMELHO OXIDO 900ML;75,0303;62,3;239,309
12144;MAZ - MAZA MIX PU 940 LARANJA 3,6L;464,011;59,62;1352,5839
12154;MAZ - MAZA MIX SINT 463 AZUL 900ML;57,741;65,24;205,4117
12167;MAZ - MAZA MIX PU 950 BINDER FROTA INCOLOR 18L;842,843;57,41;2294,0995
12198;MAZ - FOSQUEANTE UNIVERSAL MAZA 900ML;67,427;57,86;186,017
12199;MAZ - EMBALAGEM MAZAMIX QUARTO;3,9863;44,2;10,1578
